ID	SEX	BIRTH	DOD	REMOVE DATE	DAM	SIRE	BEHAVIORAL MOM	CS STATUS	GROUP AT BIRTH	CS BIRTH SEASON	Comments
I174F5	m	25/07/2016					4F5	IN CS	R	2017	
I1752Z	m	25/07/2016					52Z	IN CS	V	2017	
I173B1	m	26/07/2016					3B1	IN CS	R	2017	
I174L8	m	26/07/2016					4L8	IN CS	HH	2017	
I175B6	f	26/07/2016					5B6	IN CS	HH	2017	
I176D6	m	26/07/2016					6D6	IN CS	KK	2017	
I1770T	f	26/07/2016					70T	IN CS	S	2017	
I177P9	u	26/07/2016					7P9	IN CS	F	2017	
I178E8	m	26/07/2016					8E8	IN CS	F	2017	
I178J6	f	26/07/2016					8J6	IN CS	F	2017	
I1700V	m	27/07/2016					00V	IN CS	V	2017	
I172L5	f	27/07/2016					2L5	IN CS	F	2017	
I1731V	m	27/07/2016					31V	IN CS	R	2017	
I173D4	m	27/07/2016					3D4	IN CS	S	2017	
I173G2	f	27/07/2016					3G2	IN CS	S	2017	
I174C2	m	27/07/2016					4C2	IN CS	F	2017	
I176C5	f	27/07/2016					6C5	IN CS	MM	2017	
I178E2	f	27/07/2016					8E2	IN CS	HH	2017	
I175C4	u	28/07/2016	01/08/2016				5C4	Dead	R	2017	
I174C1	m	28/07/2016	28/09/2016				4C1	Dead	F	2017	
I172M0	m	28/07/2016					2M0	IN CS	R	2017	
I177C8	m	28/07/2016					7C8	IN CS	R	2017	
I178M0	m	28/07/2016					8M0	IN CS	S	2017	
I1791V	m	28/07/2016					91V	IN CS	S	2017	
I172H3	m	29/07/2016					2H3	IN CS	F	2017	
I178A5-K	f	29/07/2016					8A5	IN CS	R	2017	
I179A4	m	29/07/2016					9A4	IN CS	F	2017	
I1736O	f	30/07/2016	08/09/2016				36O	Dead	HH	2017	
I174A9	f	30/07/2016					4A9	IN CS	S	2017	
I174C5	f	30/07/2016					4C5	IN CS	V	2017	
I177F7	f	30/07/2016					7F7	IN CS	R	2017	
I171H6	f	31/07/2016					1H6	IN CS	F	2017	
I1725P	m	31/07/2016					25P	IN CS	KK	2017	
I172J8	m	31/07/2016					2J8	IN CS	F	2017	
I1747Z	f	31/07/2016					47Z	IN CS	V	2017	
I1790T	m	31/07/2016					90T	IN CS	V	2017	
I179D8	m	31/07/2016					9D8	IN CS	F	2017	
I179K6	m	31/07/2016					9K6	IN CS	S	2017	
I172J7	f	01/08/2016					2J7	IN CS	KK	2017	
I176C2	m	01/08/2016					6C2	IN CS	KK	2017	
I1786Z	f	01/08/2016					86Z	IN CS	KK	2017	
I1734N	m	02/08/2016					34N	IN CS	F	2017	
I1755V	f	02/08/2016					55V	IN CS	F	2017	
I1762R	f	02/08/2016					62R	IN CS	KK	2017	
I177K1	m	02/08/2016					7K1	IN CS	R	2017	
I178P8	f	02/08/2016					8P8	IN CS	F	2017	
I174E0	m	03/08/2016	11/08/2016				4E0	Dead	R	2017	
I173D1	f	03/08/2016	12/08/2016				3D1	Dead	S	2017	
I177J7	f	03/08/2016					7J7	IN CS	KK	2017	
I178I6	f	04/08/2016					8I6	IN CS	S	2017	
I1733V	u	05/08/2016	05/08/2016				33V	Dead	R	2017	
I172A8	f	05/08/2016					2A8	IN CS	F	2017	
I1787F	m	05/08/2016					87F	IN CS	R	2017	
I178H1	m	06/08/2016					8H1	IN CS	MM	2017	
I1740L	f	07/08/2016					40L	IN CS	F	2017	
I170I5	m	08/08/2016					0I5	IN CS	F	2017	
I171A3	f	08/08/2016					1A3	IN CS	F	2017	
I172G2	f	08/08/2016					2G2	IN CS	V	2017	
I173H0	f	08/08/2016					3H0	IN CS	V	2017	
I179G3	f	08/08/2016					9G3	IN CS	F	2017	
I171K3	m	09/08/2016					1K3	IN CS	MM	2017	
I1778I	f	09/08/2016					78I	IN CS	V	2017	
I177M9	f	10/08/2016	07/09/2016				7M9	Dead	R	2017	
I170G5	f	10/08/2016					0G5	IN CS	F	2017	
I179O4	f	10/08/2016					9O4	IN CS	R	2017	
I170K0	f	11/08/2016					0K0	IN CS	V	2017	
I1714Z	m	11/08/2016					14Z	IN CS	R	2017	
I1748V	f	11/08/2016					48V	IN CS	HH	2017	
I174A5	m	11/08/2016					4A5	IN CS	R	2017	
I175C4-2	f	12/08/2016					5C4	IN CS	R	2017	
I171I6	f	13/08/2016					1I6	IN CS	V	2017	
I171I7	f	13/08/2016					1I7	IN CS	V	2017	
I178J0	m	13/08/2016					8J0	IN CS	MM	2017	
I1703Z	f	14/08/2016					03Z	IN CS	HH	2017	
I171G0	m	14/08/2016					1G0	IN CS	V	2017	
I1720S	f	14/08/2016					20S	IN CS	HH	2017	
I172C8	f	14/08/2016					2C8	IN CS	R	2017	
I172K1	m	14/08/2016					2K1	IN CS	V	2017	
I176K1	m	14/08/2016					6K1	IN CS	MM	2017	
I177J8	m	15/08/2016					7J8	IN CS	F	2017	
I170B5	f	16/08/2016					0B5	IN CS	R	2017	
I1752P	m	16/08/2016					52P	IN CS	F	2017	
I175D9	m	16/08/2016					5D9	IN CS	MM	2017	
I175K7	f	16/08/2016					5K7	IN CS	F	2017	
I176J4	m	16/08/2016					6J4	IN CS	S	2017	
I177A8	m	16/08/2016					7A8	IN CS	R	2017	
I171E6	m	18/08/2016					1E6	IN CS	R	2017	
I175O0	m	18/08/2016					5O0	IN CS	V	2017	
I174H0	m	19/08/2016					4H0	IN CS	R	2017	
I1750I	m	19/08/2016					50I	IN CS	F	2017	
I1774K	f	19/08/2016					74K	IN CS	S	2017	
I178F0	f	19/08/2016					8F0	IN CS	R	2017	
I179P3	f	19/08/2016					9P3	IN CS	V	2017	
I174J4	f	20/08/2016					4J4	IN CS	V	2017	
I179M8	f	20/08/2016					9M8	IN CS	V	2017	
I179P5	m	20/08/2016					9P5	IN CS	HH	2017	
I172I3	m	21/08/2016					2I3	IN CS	V	2017	
I179L7	m	22/08/2016	22/08/2016				9L7	Dead	R	2017	
I170K7	f	22/08/2016					0K7	IN CS	F	2017	
I171G1	m	22/08/2016					1G1	IN CS	V	2017	
I172G3	f	22/08/2016					2G3	IN CS	V	2017	
I174A0	f	22/08/2016					4A0	IN CS	R	2017	
I1789K	m	22/08/2016					89K	IN CS	R	2017	
I1793I	f	22/08/2016					93I	IN CS	R	2017	
I1755R	f	23/08/2016					55R	IN CS	HH	2017	
I1704N	m	24/08/2016	30/08/2016				04N	Dead	F	2017	
I170A9	f	24/08/2016					0A9	IN CS	F	2017	
I170C8	m	24/08/2016					0C8	IN CS	MM	2017	
I171N9	f	24/08/2016					1N9	IN CS	F	2017	
I174M2	f	24/08/2016					4M2	IN CS	R	2017	
I1749V-2	m	25/08/2016	30/08/2016				49V	Dead	KK	2017	
I171C5	f	25/08/2016					1C5	IN CS	KK	2017	
I173M5	m	25/08/2016					3M5	IN CS	R	2017	
I1743F	m	25/08/2016					43F	IN CS	F	2017	
I1749V-1	m	25/08/2016					49V	IN CS	KK	2017	
